MausQs,MausFR,AM,AM_parent,AM_exp,Raw KBIT,KBit_Score,Age (months),demo_child_gender,Target,Lure,Foil,PSObjTarget,PSObjLure,PSObjFoil,PSLocTarget,PSLocLure,PSLocFoil,PSAniTarget,PSAniLure,PSAniFoil,LocAniLink,AniObjLink,AniLocLink,ObjAniLink,LocObjLink,ObjLocLink,Dependency,PCAccuracy
2.0,5.666666666666667,6.5,4.0,9.0,31.0,97.0,74.0,1.0,0.8518518518518519,0.074074074074074,0.074074074074074,0.7222222222222222,0.1666666666666666,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,0.9444444444444444,0.0555555555555555,0.0,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.0843621399176952,0.8796296296296297
1.5454545454545454,6.333333333333333,12.0,17.5,6.5,23.0,100.0,55.0,2.0,0.9074074074074074,0.074074074074074,0.0185185185185185,0.9444444444444444,0.0555555555555555,0.0,0.8888888888888888,0.0555555555555555,0.0555555555555555,0.8888888888888888,0.1111111111111111,0.0,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.0720164609053498,0.7962962962962963
2.0,6.5,9.5,10.5,8.5,62.0,127.0,94.0,1.0,0.9814814814814816,0.0185185185185185,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.0555555555555555,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,0.9907407407407408
1.7272727272727273,8.166666666666666,26.75,44.5,9.0,50.0,121.0,83.0,2.0,0.925925925925926,0.0185185185185185,0.0555555555555555,0.9444444444444444,0.0,0.0555555555555555,0.8888888888888888,0.0555555555555555,0.0555555555555555,0.9444444444444444,0.0,0.0555555555555555,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.0329218106995883,0.9537037037037036
1.7272727272727273,4.833333333333333,13.5,20.5,6.5,31.0,109.0,62.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.9907407407407408
1.8181818181818181,4.833333333333333,10.5,15.0,6.0,44.0,113.0,81.0,2.0,0.9074074074074074,0.074074074074074,0.0185185185185185,0.9444444444444444,0.0555555555555555,0.0,0.8333333333333334,0.1111111111111111,0.0555555555555555,0.9444444444444444,0.0555555555555555,0.0,0.7777777777777778,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,1.0,0.0113168724279832,0.9166666666666666
1.6363636363636365,2.3333333333333335,28.0,49.0,7.0,28.0,103.0,61.0,2.0,0.8518518518518519,0.0925925925925925,0.0555555555555555,0.8888888888888888,0.1111111111111111,0.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.5555555555555556,0.0864197530864196,0.7962962962962963
2.0,7.333333333333333,14.75,21.0,8.5,53.0,120.0,88.0,2.0,0.9444444444444444,0.0185185185185185,0.037037037037037,1.0,0.0,0.0,0.8888888888888888,0.0555555555555555,0.0555555555555555,0.9444444444444444,0.0,0.0555555555555555,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.0195473251028807,0.8981481481481481
2.0,7.0,9.0,13.0,5.0,47.0,114.0,86.0,1.0,0.9074074074074074,0.0925925925925925,0.0,0.7777777777777778,0.2222222222222222,0.0,0.9444444444444444,0.0555555555555555,0.0,1.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,1.0,-0.0030864197530863,0.9537037037037036
1.9090909090909092,6.333333333333333,10.0,16.5,3.5,40.0,103.0,86.0,1.0,0.9629629629629628,0.0,0.037037037037037,1.0,0.0,0.0,0.9444444444444444,0.0,0.0555555555555555,0.9444444444444444,0.0,0.0555555555555555,0.7777777777777778,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,1.0,-0.0092592592592593,0.9351851851851852
